name,dept,requiredType,courseNumber,grade,schedule,weeks,buildingCode,room,instructor,credits,post110Domain,post110Cluster
臺灣重要之病毒性傳染病,通識中心,通識,0536,,378,,Y,403,古山吉(Kumar),2,自然,生命科學
臺灣重要之病毒性傳染病,通識中心,通識,0537,,434,,Y,112,邱賢松,2,自然,生命科學
實用生活化學,通識中心,通識,0542,,578,,SC,111,羅順原,2,自然,物質科學
永續農學,通識中心,通識,0546,,278,,Y,302,高培慈等,2,自然,環境科學
環境與健康,通識中心,通識,0547,,334,,Y,403,古山吉(Kumar),2,自然,環境科學
生態學,通識中心,通識,0548,,167,,Y,403,于迺文,2,自然,環境科學
生態學,通識中心,通識,0549,,189,,Y,403,于迺文,2,自然,環境科學
防災概論,通識中心,通識,0550,,156,,Y,410,王鴻勳,2,自然,環境科學
地學通論,通識中心,通識,0551,,5234,,Y,305,彭宗仁,3,自然,環境科學
行動載具程式設計,通識中心,通識,0631,,434,,CC,214,林建良,2,核心素養,資訊素養
倫理學與當代議題,通識中心,通識,0633,,212,,Y,207,周啟庠等,2,核心素養,反思創新
媒體識讀,通識中心,通識,0634,,578,,Y,401,蔡明志,2,核心素養,反思創新
國際關係,通識中心,通識,0637,,434,,SC,112,廖舜右,2,核心素養,全球思維
世界糧食問題,通識中心,通識,0638,,534,,Y,206,陳思宏,2,核心素養,全球思維
環境生態變遷與永續發展,通識中心,通識,0639,,178,,Y,410,王鴻勳,2,核心素養,全球思維
全球化與當代社會,通識中心,通識,0641,,534,,Y,401,陳迪暉,2,核心素養,全球思維
探索臺中城,通識中心,通識,0644,,334,,Y,104,劉泰廷,2,核心素養,在地關懷
中小學課後輔導與學習陪伴,通識中心,通識,0646,,589,,Y,104,張玉芳,2,核心素養,在地關懷
中小學課後輔導與學習陪伴,通識中心,通識,0647,,278,,Y,207,楊琇玲,2,核心素養,在地關懷
惠蓀人文共學,通識中心,通識,0648,,334,,Y,208,賴慶明,2,核心素養,在地關懷
動物福祉,通識中心,通識,0650,,156,,I,407,林怡君,2,核心素養,在地關懷
動物福祉,通識中心,通識,0651,,556,,QB,101,林荀龍等,2,核心素養,在地關懷
社會關懷,通識中心,通識,0652,,534,,Y,402,黃慈慧,2,核心素養,在地關懷
人際關係與溝通,通識中心,通識,0654,,178,,Y,102,蔡素琴,2,核心素養,自我表達
英文演說與溝通,通識中心,通識,0655,,356,,Y,202,陳昭良,2,核心素養,自我表達
幸福溝通,通識中心,通識,0656,,578,,Y,112,劉秀丹,2,核心素養,自我表達
策展大小事,通識中心,通識,0659,,478,,Y,302,游逸飛,2,核心素養,團隊合作
視覺藝術欣賞,通識中心,通識,0662,,278,,Y,301,洪鈞元,2,核心素養,審美求真
臺灣美術導賞,通識中心,通識,0663,,18,,Y,308,王婉如,1,核心素養,審美求真
設計美學,通識中心,通識,0664,,356,,A,205,張愷勻,2,核心素養,審美求真
校園自然環境導覽,通識中心,通識,0666,,178,,V,202,廖天賜,2,核心素養,學校特色
走讀臺中,通識中心,通識,0667,,15,,Y,409,吳政憲,1,核心素養,學校特色
以科學方法解決生活問題,通識中心,通識,0671,,556,,SC,111,羅順原,2,核心素養,應用整合
以科學方法解決生活問題,通識中心,通識,0672,,456,,Y,102,林彥佑,2,核心素養,應用整合
社區營造與創意方案規劃,通識中心,通識,0673,,156,,Y,301,張淑君,2,核心素養,應用整合
人際關係與社會互動,通識中心,通識,0690,,*,,,*,全體教師,2,核心素養,自我表達
美術工作坊,通識中心,通識,0101,,2AB,,Y,605,鄧文貞,2,統合,專業實作
進階攝影,通識中心,通識,0102,,3AB,,Y,102,王銘滄,2,統合,專業實作
人文藝術博物館巡禮,通識中心,通識,0103,,2AB,,Y,305,何智勇,2,統合,專業實作
中國古代科學,通識中心,通識,0104,,5CD,,Y,104,吳政憲,2,自然,工程科技
新興科技與倫理,通識中心,通識,0105,,1CD,,Y,104,吳政憲,2,核心素養,反思創新
視覺藝術欣賞,通識中心,通識,0106,,1AB,,Y,308,王婉如,2,核心素養,審美求真
從生態學領導,通識中心,通識,0107,,5AB,,Y,403,于迺文,2,統合,專業實作
創新思維與應用,通識中心,通識,0108,,4AB,,Y,401,陳迪暉,2,統合,專業實作
世界音樂與多元文化,通識中心,通識,0109,,2AB,,Y,112,呂承祐,2,人文,藝術
比較教育學,通識中心,通識,0110,,4AB,,Y,303,施又瑀,2,社會,心理與教育
法學緒論,通識中心,通識,0111,,4AB,,Y,212,黃馨慧,2,社會,法律與政治
國防教育：全民國防,通識中心,通識,0112,,3AB,,Y,104,劉鎮燈,2,社會,法律與政治
歷史·生活與學習,通識中心,通識,0113,,3AB,,Y,305,宋德喜,2,人文,文化
歷史與人生,通識中心,通識,0114,,2AB,,Y,302,林益德,2,人文,歷史
中國文化史,通識中心,通識,0115,,2CD,,Y,302,林益德,2,人文,歷史
影像與文化評論,通識中心,通識,0116,,3CD,,Y,305,宋德喜,2,人文,藝術
探索臺中城,通識中心,通識,0117,,5AB,,Y,204,蘇全正,2,核心素養,在地關懷
八大藝術中的生物醫學,通識中心,通識,0118,,3AB,,Y,112,闕斌如等,2,自然,生命科學
