term,oldDomain,oldCluster,post110Domain,post110Cluster,courseCode,titleZH,titleEN,credits,timeCode,classroom,instructor,unit,quota,enrolled,available,language,note,extra1,extra2,rate
1141,人文,文化,人文,文化,0301,日本文化,Japanese Culture	2	234		Y208	沈玉慧	通識中心	50	46	4	中文		50	347	14%,,,,,,,,,,,,,
1141,人文,文化,人文,文化,0303,中國傳統思想經典選讀,Reading of Classical Chinese Traditional Thought	2	334		Y202	蕭振聲	通識中心	50	50	0	中文	不開放校際選課	50	209	24%,,,,,,,,,,,,,
1141,人文,文化,人文,文化,0304,日本漫畫文化論,Japanese Manga Culture Inquiry	2	256		Y104	陳仲偉	通識中心	120	119	1	中文	不開放校際選課及特殊加簽	120	461	26%,,,,,,,,,,,,,
1141,人文,文化,人文,文化,0305,江戶文化,Edo Culture	2	334		Y305	蕭涵珍	通識中心	50	53	0	中文	不開放校際選課	50	303	17%,,,,,,,,,,,,,
1141,人文,文化,人文,文化,0306,吃喝文化在東亞,Eating and Drinking Culture in East Asia	2	334		Y206	陳建源	通識中心	60	57	3	中文		60	219	27%,,,,,,,,,,,,,
1141,人文,文化,人文,文化,0307,印度不思議,The Incredible India	2	178		Y305	游博清	通識中心	50	50	0	中文		50	155	32%,,,,,,,,,,,,,
1141,人文,文化,人文,文化,0309,臺灣環境與永續生活,Taiwan's Environment and Sustainable Living	2	534		Y204	蕭戎	通識中心	50	49	1	中文		50	194	26%,,,,,,,,,,,,,
1141,人文,文化,人文,文化,0310,臺灣環境與永續生活,Taiwan's Environment and Sustainable Living	2	556		Y204	蕭戎	通識中心	50	49	1	中文		50	205	24%,,,,,,,,,,,,,
1141,人文,文化,人文,文化,0311,東北亞歷史與文化,The History and Culture of Northeast Asia	2	478		Y206	蔡宗憲	通識中心	50	50	0	中文		50	303	17%,,,,,,,,,,,,,
1141,人文,文學,人文,文學,0312,中國古典短篇小說選讀,Selected Reading of Classical Chinese Fictions	2	434		Y203	蔡妙真	通識中心	50	46	4	中文	不開放校際選課	50	162	31%,,,,,,,,,,,,,
1141,人文,文學,人文,文學,0313,文學探索,Exploring Literature	2	156		Y203	沈曼菱	通識中心	31	33	0	中文		31	92	34%,,,,,,,,,,,,,
1141,人文,文學,人文,文學,0314,華語影視文學,Film and Visual Literature of Chinese Language	2	334		Y313	趙家琦	通識中心	42	44	0	中文		42	186	23%,,,,,,,,,,,,,
1141,人文,文化,人文,文化,0315,多元文化在臺灣,Multicultural in Taiwan	2	334		Y109	黎宗裕	通識中心	45	20	25	英文/EMI	English Conducting.	45	59	76%,,,,,,,,,,,,,
1141,人文,文化,人文,文化,0316,臺灣環境與永續生活,Taiwan's Environment and Sustainable Living	2	356		Y109	黎宗裕	通識中心	45	45	0	英文/EMI	English Conducting.	45	64	70%,,,,,,,,,,,,,
1141,人文,哲學,人文,哲學,0317,生命教育,Life Education	2	512		Y402	黃慈慧	通識中心	50	39	11	中文	不開放校際選課及特殊加簽	50	84	60%,,,,,,,,,,,,,
1141,人文,哲學,人文,哲學,0318,生命教育,Life Education	2	412		Y308	楊謦綺	通識中心	55	51	4	中文	不開放校際選課	55	98	56%,,,,,,,,,,,,,
1141,人文,哲學,人文,哲學,0319,哲學概論,Introduction to Philosophy	2	234		Y409	張盈馨	通識中心	60	67	0	中文	非同步遠距教學	60	452	13%,,,,,,,,,,,,,
1141,人文,歷史,人文,歷史,0320,近百年臺灣發展與變遷,Modern Taiwan History	2	434		Y305	陳慧先	通識中心	50	51	0	中文		50	495	10%,,,,,,,,,,,,,
1141,人文,歷史,人文,歷史,0321,近百年臺灣發展與變遷,Modern Taiwan History	2	478		Y305	陳慧先	通識中心	50	53	0	中文		50	538	9%,,,,,,,,,,,,,
1141,人文,歷史,人文,歷史,0322,現代世界的形成,The Formation of Modern World	2	234		Y202	許朝祺	通識中心	50	54	0	中文		50	214	23%,,,,,,,,,,,,,
1141,人文,歷史,人文,歷史,0323,現代商業史,A History of Modern Business	2	134		Y409	林志龍	通識中心	60	66	0	中文	同步、非同步遠距教學；不開放校際選課	60	404	15%,,,,,,,,,,,,,
1141,人文,歷史,人文,歷史,0324,臺灣歷史導論,Introduction to History of Taiwan	2	334		Y207	李毓嵐	通識中心	50	53	0	中文		50	175	29%,,,,,,,,,,,,,
1141,人文,歷史,人文,歷史,0325,臺灣歷史導論,Introduction to History of Taiwan	2	478		Y207	李毓嵐	通識中心	50	56	0	中文		50	210	24%,,,,,,,,,,,,,
1141,人文,歷史,人文,歷史,0326,歷史與人生,History and Human Life	2	278		Y206	蔡宗憲	通識中心	50	57	0	中文		50	231	22%,,,,,,,,,,,,,
1141,人文,歷史,人文,歷史,0327,西方健康文化史,Western Cultural History of Health	2	356		Y305	陳樂元	通識中心	50	50	0	中文		50	261	19%,,,,,,,,,,,,,
1141,人文,歷史,人文,歷史,0328,西方健康文化史,Western Cultural History of Health	2	378		Y305	陳樂元	通識中心	50	50	0	中文		50	216	23%,,,,,,,,,,,,,
1141,人文,藝術,人文,藝術,0332,藝術的故事,The Story of Art	2	156		Y212	劉瑞寬	通識中心	50	47	3	中文		50	183	27%,,,,,,,,,,,,,
1141,人文,藝術,人文,藝術,0333,古典音樂賞析,Classical Music Appreciation	2	278		Y112	呂承祐	通識中心	50	50	0	英文/EMI	English Conducting.	50	85	59%,,,,,,,,,,,,,
1141,人文,藝術,人文,藝術,0334,古典音樂賞析,Classical Music Appreciation	2	178		Y112	李美賢	通識中心	70	71	0	中文	不開放校際選課	70	265	26%,,,,,,,,,,,,,
1141,人文,藝術,人文,藝術,0335,古典音樂賞析,Classical Music Appreciation	2	356		Y112	陳彥蓉	通識中心	70	89	0	中文	不開放校際選課	70	592	12%,,,,,,,,,,,,,
1141,人文,藝術,人文,藝術,0336,電影美學,Cinematic Aesthetics	2	256		Y305	何智勇	通識中心	70	71	0	中文	不開放校際選課	70	635	11%,,,,,,,,,,,,,
1141,人文,藝術,人文,藝術,0337,西洋歌劇發展史,History of Western Opera	2	312		Y402	陳欣宜	通識中心	70	69	1	中文		70	204	34%,,,,,,,,,,,,,
1141,人文,藝術,人文,藝術,0338,世界音樂與多元文化,World Music and Culture	2	256		Y112	呂承祐	通識中心	50	50	0	英文/EMI	English Conducting.	50	102	49%,,,,,,,,,,,,,
1141,社會,公民與社會,社會,公民與社會,0401,婚姻與家庭,Marriage and Family	2	156		SC111	劉昭辰	通識中心	140	148	0	中文		140	362	39%,,,,,,,,,,,,,
1141,社會,公民與社會,社會,公民與社會,0402,性別·社會·個人,Gender-Society-Individual	2	234		Y204	關永馨	通識中心	60	56	4	中文	不開放校際選課及特殊加簽	60	105	57%,,,,,,,,,,,,,
1141,社會,公民與社會,社會,公民與社會,0403,食物與政治,Food and Politics	2	278		SC111	譚偉恩	通識中心	150	149	1	中文	請注意：不開放特殊情形簽核	150	324	46%,,,,,,,,,,,,,
1141,社會,公民與社會,社會,公民與社會,0404,公共管理與公民社會,Public Management and Civil Society	2	434		SC204	潘競恒	通識中心	55	52	3	中文		55	122	45%,,,,,,,,,,,,,
1141,人文,文化,社會,公民與社會,0405,電影中的社會變遷,Social Change Through Movies	2	178		Y409	林志龍	通識中心	50	51	0	英文/EMI	English Conducting.Inter-school course selection closed.	50	146	34%,,,,,,,,,,,,,
1141,社會,心理與教育,社會,心理與教育,0409,心理學,Psychology	3	1678		Y204	關永馨	通識中心	60	57	3	中文	不開放校際選課及特殊加簽	60	195	31%,,,,,,,,,,,,,
1141,社會,心理與教育,社會,心理與教育,0410,心理學,Psychology	3	2678		Y204	關永馨	通識中心	60	59	1	中文	不開放校際選課及特殊加簽	60	190	32%,,,,,,,,,,,,,
1141,社會,心理與教育,社會,心理與教育,0411,社會心理學,Social Psychology	2	556		Y303	施又瑀	通識中心	50	50	0	中文	不開放校際選課及特殊加簽	50	1057	5%,,,,,,,,,,,,,
1141,社會,心理與教育,社會,心理與教育,0412,社會心理學,Social Psychology	2	134		Y204	關永馨	通識中心	60	55	5	中文	不開放校際選課及特殊加簽	60	305	20%,,,,,,,,,,,,,
1141,社會,心理與教育,社會,心理與教育,0413,教育與終身學習,Education and Life-Long Learning	2	256		Y208	陳姿伶	通識中心	50	58	0	中文		50	217	23%,,,,,,,,,,,,,
1141,社會,心理與教育,社會,心理與教育,0414,性別與親密關係,Gender and Close Relationships	2	134		Y102	蔡素琴	通識中心	48	34	14	中文		48	148	32%,,,,,,,,,,,,,
1141,社會,心理與教育,社會,心理與教育,0415,性別與親密關係,Gender and Close Relationships	2	156		Y102	蔡素琴	通識中心	48	27	21	中文		48	93	52%,,,,,,,,,,,,,
1141,社會,心理與教育,社會,心理與教育,0416,靈商：整合智商與情商,Spiritual Quotient: Integrate IQ and EQ	2	456		Y202	程進發	通識中心	48	35	13	中文	不開放校際選課及特殊加簽	48	200	24%,,,,,,,,,,,,,
1141,社會,心理與教育,社會,心理與教育,0417,正向心理學,Positive Psychology	3	4789		Y303	施又瑀	通識中心	50	49	1	中文	不開放校際選課及特殊加簽	50	702	7%,,,,,,,,,,,,,
1141,社會,法律與政治,社會,法律與政治,0421,法學緒論,Introduction to Legal Studies	2	478		Y212	黃馨慧	通識中心	50	56	0	中文		50	288	17%,,,,,,,,,,,,,
1141,社會,法律與政治,社會,法律與政治,0422,民主與憲政,Democracy and Constitutionalism	2	378		SC204	潘競恒	通識中心	55	53	2	中文		55	138	40%,,,,,,,,,,,,,
1141,社會,法律與政治,社會,法律與政治,0423,科技與法律,Science and Technology Laws	2	478		Y309	廖緯民	通識中心	60	62	0	中文		60	278	22%,,,,,,,,,,,,,
1141,社會,法律與政治,社會,法律與政治,0424,流行文化與國際關係,Popular Culture and International Relations	2	356		SC112	譚偉恩	通識中心	150	148	2	中文	請注意：不開放特殊情形簽核	150	303	50%,,,,,,,,,,,,,
1141,社會,法律與政治,社會,法律與政治,0425,民法通論,General Introduction to the Civil Code	2	178		Y309	廖緯民	通識中心	60	57	3	中文		60	205	29%,,,,,,,,,,,,,
1141,社會,法律與政治,社會,法律與政治,0426,民法通論,General Introduction to the Civil Code	2	456		SC103	紀和均	通識中心	70	74	0	中文	不開放特殊加簽	70	236	30%,,,,,,,,,,,,,
1141,社會,法律與政治,社會,法律與政治,0427,電影與國際關係,Films and International Relations	2	256		SC112	楊三億	通識中心	150	150	0	中文	不開放校際選課	150	407	37%,,,,,,,,,,,,,
1141,社會,法律與政治,社會,法律與政治,0429,國防教育：國防政策,National Defense Education: National Defense Policies	2	278		Y410	舒博智	通識中心	60	71	0	中文	不開放校際選課;國防教育只採計一門為通識學分	60	847	7%,,,,,,,,,,,,,
1141,社會,法律與政治,社會,法律與政治,0430,國防教育：防衛動員,National Defense Education: Defense Mobilization	2	378		Y104	劉鎮燈	通識中心	100	120	0	中文	不開放校際選課;國防教育只採計一門為通識學分	100	834	12%,,,,,,,,,,,,,
1141,社會,法律與政治,社會,法律與政治,0431,國防教育：國際情勢,National Defense Education: International Situations	2	278		Y409	林欣郁	通識中心	60	70	0	中文	不開放校際選課;國防教育只採計一門為通識學分	60	750	8%,,,,,,,,,,,,,
1141,社會,法律與政治,社會,法律與政治,0432,日本與亞太區域發展,The Development of Asia-Pacific Region and Japan	2	256		SC111	廖舜右	通識中心	100	108	0	中文		100	286	35%,,,,,,,,,,,,,
1141,社會,法律與政治,社會,法律與政治,0433,智慧財產權法概論,General Introduction on Intellectual Property	2	256		Y206	蘇宜成	通識中心	50	49	1	中文		50	129	39%,,,,,,,,,,,,,
1141,社會,法律與政治,社會,法律與政治,0434,智慧財產權法概論,General Introduction on Intellectual Property	2	556		Y104	戴志傑	通識中心	120	107	13	中文	不開放校際選課及特殊加簽	120	193	62%,,,,,,,,,,,,,
1141,社會,法律與政治,社會,法律與政治,0435,流行文化與國際關係,Popular Culture and International Relations	2	234		Y109	黎宗裕	通識中心	45	29	16	英文/EMI	English Conducting.	45	94	48%,,,,,,,,,,,,,
1141,社會,資訊與傳播,社會,資訊與傳播,0436,網際文化,Cyber-Culture	2	256		Y109	黎宗裕	通識中心	45	31	14	英文/EMI	English Conducting.	45	66	68%,,,,,,,,,,,,,
1141,社會,心理與教育,社會,心理與教育,0439,靈商：整合智商與情商,Spiritual Quotient: Integrate IQ and EQ	2	234		AC101	程進發	通識中心	40	0	40	中文	(未成班，停開)【南投分部-循環經濟研究學院(於「役政署」下車)】上、下課請各預留1~2小時搭車時間	40	50	80%,,,,,,,,,,,,,
1141,社會,商業與管理,社會,商業與管理,0490,職場競爭力,The Competitiveness Of Career	2	*		*	全體教師	通識中心	50	50	0	中文	【跨校線上課程】細節ewant育網平台另行EMail通知。不開放校際選課及加簽	50	787	6%,,,,,,,,,,,,,
1141,自然,工程科技,自然,工程科技,0501,化工科技,Chemical Engineering Technology	2	156		CE206	李思禹	通識中心	32	31	1	中文	示範實驗	32	293	11%,,,,,,,,,,,,,
1141,自然,工程科技,自然,工程科技,0503,半導體通識講座：與我們息息相關的半導體,Semiconductor in Our Life	2	334		ATB29	何孟書	通識中心	100	104	0	中文	詳見教學大綱	100	579	17%,,,,,,,,,,,,,
1141,自然,工程科技,自然,工程科技,0504,奈米科技,Introduction of Nanotech	2	234		ATB29	劉浚年	通識中心	70	68	2	中文	不開放校際選課及特殊加簽	70	236	30%,,,,,,,,,,,,,
